id_protac,linker_canonical,warhead_canonical,e3_ligand_canonical,smiles_canonical
1924,CCOCCNC(C)=O,[R1]N1C(=O)C2=CC(=C(N=C2N(C1=O)C3CC3)N)C(=O)N,[R2]NC1=CC=CC2=C1C(=O)N(C2=O)C3CCC(=O)NC3=O,NC(=O)C1=CC2=C(N=C1N)N(C1CC1)C(=O)N(CC(=O)NCCOCCNC1=CC=CC3=C1C(=O)N(C1CCC(=O)NC1=O)C3=O)C2=O
1925,CCNC(C)=O,[R1]N1C(=O)C2=CC(=C(N=C2N(C1=O)CC)N)C(=O)N,[R2]NC1=CC=CC2=C1C(=O)N(C2=O)C3CCC(=O)NC3=O,CCN1C(=O)N(CC(=O)NCCNC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)C(=O)C2=CC(C(N)=O)=C(N)N=C21
1926,CCCNC(C)=O,[R1]N1C(=O)C2=CC(=C(N=C2N(C1=O)CC)N)C(=O)N,[R2]NC1=CC=CC2=C1C(=O)N(C2=O)C3CCC(=O)NC3=O,CCN1C(=O)N(CC(=O)NCCCNC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)C(=O)C2=CC(C(N)=O)=C(N)N=C21
1927,CCCCNC(C)=O,[R1]N1C(=O)C2=CC(=C(N=C2N(C1=O)CC)N)C(=O)N,[R2]NC1=CC=CC2=C1C(=O)N(C2=O)C3CCC(=O)NC3=O,CCN1C(=O)N(CC(=O)NCCCCNC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)C(=O)C2=CC(C(N)=O)=C(N)N=C21
1928,CCCCCNC(C)=O,[R1]N1C(=O)C2=CC(=C(N=C2N(C1=O)CC)N)C(=O)N,[R2]NC1=CC=CC2=C1C(=O)N(C2=O)C3CCC(=O)NC3=O,CCN1C(=O)N(CC(=O)NCCCCCNC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)C(=O)C2=CC(C(N)=O)=C(N)N=C21
1929,CCCCCCNC(C)=O,[R1]N1C(=O)C2=CC(=C(N=C2N(C1=O)CC)N)C(=O)N,[R2]NC1=CC=CC2=C1C(=O)N(C2=O)C3CCC(=O)NC3=O,CCN1C(=O)N(CC(=O)NCCCCCCNC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)C(=O)C2=CC(C(N)=O)=C(N)N=C21
1930,CCOCCNC(C)=O,[R1]N1C(=O)C2=CC(=C(N=C2N(C1=O)CC)N)C(=O)N,[R2]NC1=CC=CC2=C1C(=O)N(C2=O)C3CCC(=O)NC3=O,CCN1C(=O)N(CC(=O)NCCOCCNC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)C(=O)C2=CC(C(N)=O)=C(N)N=C21
1931,CC(=O)NCCNC(=O)CO,[R1]N1C(=O)C2=CC(=C(N=C2N(C1=O)C3CC3)N)C(=O)N,[R2]C1=C2C(=CC=C1)C(=O)N(C2=O)C3CCC(=O)NC3=O,NC(=O)C1=CC2=C(N=C1N)N(C1CC1)C(=O)N(CC(=O)NCCNC(=O)COC1=CC=CC3=C1C(=O)N(C1CCC(=O)NC1=O)C3=O)C2=O
1932,CC(=O)NCCCNC(=O)CO,[R1]N1C(=O)C2=CC(=C(N=C2N(C1=O)C3CC3)N)C(=O)N,[R2]C1=C2C(=CC=C1)C(=O)N(C2=O)C3CCC(=O)NC3=O,NC(=O)C1=CC2=C(N=C1N)N(C1CC1)C(=O)N(CC(=O)NCCCNC(=O)COC1=CC=CC3=C1C(=O)N(C1CCC(=O)NC1=O)C3=O)C2=O
1933,CC(=O)NCCCCNC(=O)CO,[R1]N1C(=O)C2=CC(=C(N=C2N(C1=O)C3CC3)N)C(=O)N,[R2]C1=C2C(=CC=C1)C(=O)N(C2=O)C3CCC(=O)NC3=O,NC(=O)C1=CC2=C(N=C1N)N(C1CC1)C(=O)N(CC(=O)NCCCCNC(=O)COC1=CC=CC3=C1C(=O)N(C1CCC(=O)NC1=O)C3=O)C2=O
